"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"INDIGO","InterGlobe Aviation Limited","7(2)","Suman Chopra","Employees/Designated Employees","Equity Shares","37546","0.01",,"1000","1730000","Sell","Equity Shares","36546","0.01","20-Nov-2020","20-Nov-2020","22-Nov-2020","Market Sale","-","-","0","0","0","0","BSE,NSE","-","24-Nov-2020 18:58","https://archives.nseindia.com/corporate/xbrl/IT_1084316_366005_24112020065806_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Sandeep Garg","Employees/Designated Employees","Equity Shares","583","0",,"383","1914962","Sell","Equity Shares","200","0","20-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Dhruv Prakash","Director","Equity Shares","31656","0.11",,"450","2267501","Sell","Equity Shares","31206","0.11","23-Nov-2020","23-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Dhruv Prakash","Director","Equity Shares","32106","0.11",,"450","2235000","Sell","Equity Shares","31656","0.11","20-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Dinesh Gulati","Employees/Designated Employees","Equity Shares","384003","1.32",,"1950","9750000","Sell","Equity Shares","382053","1.31","20-Nov-2020","20-Nov-2020","21-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Dinesh Gulati","Employees/Designated Employees","Equity Shares","369556","1.27",,"14447","634790","Buy","Equity Shares","384003","1.32","13-Oct-2020","20-Nov-2020","21-Nov-2020","ESOP","-","-","0","0","0","0","NA","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Vivek Agrawal","Employees/Designated Employees","Equity Shares","2475","0.01",,"1400","6887996","Sell","Equity Shares","1075","0","19-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Sunil Parolia","Employees/Designated Employees","Equity Shares","10694","0.04",,"400","2009788","Sell","Equity Shares","10294","0.04","20-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Sudhir Gupta","Employees/Designated Employees","Equity Shares","24296","0.08",,"200","1001000","Sell","Equity Shares","24096","0.08","20-Nov-2020","20-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Sudhir Gupta","Employees/Designated Employees","Equity Shares","20337","0.07",,"3959","201590","Buy","Equity Shares","24296","0.08","12-Oct-2020","20-Nov-2020","23-Nov-2020","ESOP","-","-","0","0","0","0","NA","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
