"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"MOTOGENFIN","The Motor & General Finance Limited","Gee Cee Holdings Private Limited","23-NOV-2020 to 23-NOV-2020","5661",,"1804291","Reg29(2)","24-Nov-2020, 18-56"
"OLECTRA","Olectra Greentech Limited","M/s. Trinity Infraventures Limited","20-NOV-2020 to 20-NOV-2020",,"1100000","6163974","Reg29(2)","24-Nov-2020, 18-56"
"CONFIPET","Confidence Petroleum India Limited","Essenn LPG Bottling Pvt Ltd","19-NOV-2020 to 19-NOV-2020","71000",,"4779690","Reg29(2)","24-Nov-2020, 18-54"
"MATRIMONY","Matrimony.Com Limited","SBI Mutual Fund under its Various Schemes","23-NOV-2020 to 23-NOV-2020","744279",,"1244951","Reg29(1)","24-Nov-2020, 18-52"
"TCI","Transport Corporation of India Limited","Bhoruka Supply chain solutions holdings Limited","23-NOV-2020 to 23-NOV-2020","6007",,"34280995","Reg29(2)","24-Nov-2020, 18-52"
"TCI","Transport Corporation of India Limited","Bhoruka Supply chain solutions holdings Limited","23-NOV-2020 to 23-NOV-2020","6007",,"34280995","Reg29(2)","24-Nov-2020, 18-52"
"ARCHIDPLY","Archidply Industries Limited","Assam Timber Products Pvt Ltd","23-NOV-2020 to 23-NOV-2020",,"100000","4311750","Reg29(2)","24-Nov-2020, 18-02"
"AIRAN","Airan Limited","Mr Sandeep Kumar V Agrawal Mrs Poonam Sandeep Agrawal along with PAC","23-NOV-2020 to 23-NOV-2020","52038",,"93033251","Reg29(2)","24-Nov-2020, 18-00"
"NCLIND","NCL Industries Limited","NCL Holdings (A&S) Ltd","23-NOV-2020 to 23-NOV-2020",,"16468","848103","Reg29(2)","24-Nov-2020, 17-02"
"NCLIND","NCL Industries Limited","NCL Holdings (A&S) Ltd","19-NOV-2020 to 19-NOV-2020",,"16391","864571","Reg29(2)","24-Nov-2020, 17-00"
"NCLIND","NCL Industries Limited","NCL Holdings (A&S) Ltd","12-NOV-2020 to 17-NOV-2020",,"119038","880962","Reg29(2)","24-Nov-2020, 17-00"
"ARMANFIN","Arman Financial Services Limited","Himani Manakiwala","23-NOV-2020 to 23-NOV-2020",,"3309","19830","Reg29(2)","24-Nov-2020, 16-58"
"TAJGVK","Taj GVK Hotels & Resorts Limited","Shalini Bhupal","24-NOV-2020 to 24-NOV-2020","313500",,"23448859","Reg29(2)","24-Nov-2020, 16-58"
"TAJGVK","Taj GVK Hotels & Resorts Limited","G Indira Krishna Reddy","24-NOV-2020 to 24-NOV-2020","313500",,"7568947","Reg29(2)","24-Nov-2020, 16-58"
"TAJGVK","Taj GVK Hotels & Resorts Limited","Krishna R Bhupal","24-NOV-2020 to 24-NOV-2020",,"313500","0","Reg29(2)","24-Nov-2020, 16-58"
"TAJGVK","Taj GVK Hotels & Resorts Limited","G V Krishna Reddy","24-NOV-2020 to 24-NOV-2020",,"313500","0","Reg29(2)","24-Nov-2020, 16-58"
"ACE","Action Construction Equipment Limited","Vijay Agarwal","20-NOV-2020 to 20-NOV-2020","39000",,"42514750","Reg29(2)","24-Nov-2020, 16-46"
"VIKASMCORP","Vikas Multicorp Limited","Seema Garg","19-NOV-2020 to 19-NOV-2020",,"8847374","30132993","Reg29(2)","24-Nov-2020, 16-46"
"VIKASMCORP","Vikas Multicorp Limited","Nand Kishore Garg","19-NOV-2020 to 19-NOV-2020",,"6900929","28539085","Reg29(2)","24-Nov-2020, 16-46"
"AIRAN","Airan Limited","Sandeep Agrawal and Poonam Agrawal alongwith PAC","20-NOV-2020 to 20-NOV-2020","300000",,"92981213","Reg29(2)","24-Nov-2020, 16-44"
"ENGINERSIN","Engineers India Limited","ICICI Prudential Mutual Fund the Fund under its Scheme","20-NOV-2020 to 20-NOV-2020",,"47450","27014391","Reg29(2)","24-Nov-2020, 16-42"
"UPL","UPL Limited","Uniphos Enterprises Limited","19-NOV-2020 to 20-NOV-2020","97250",,"38985281","Reg29(2)","24-Nov-2020, 16-42"
"PNBHOUSING","PNB Housing Finance Limited","lnvestment Opportunities V Pte. Limited","20-NOV-2020 to 20-NOV-2020","1020000",,"16637956","Reg29(2)","24-Nov-2020, 09-08"
"HISARMETAL","Hisar Metal Industries Limited","Dali Tayal","18-NOV-2020 to 18-NOV-2020",,"70000","1646025","Reg29(2)","23-Nov-2020, 23-00"
"HISARMETAL","Hisar Metal Industries Limited","Abhiram Tayal","18-NOV-2020 to 18-NOV-2020","70000",,"1786025","Reg29(2)","23-Nov-2020, 23-00"
"INFRATEL","Bharti Infratel Limited","Omega Telecom Holdings Private Limited","19-NOV-2020 to 20-NOV-2020","62180258",,"62180258","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","Mobilvest","19-NOV-2020 to 20-NOV-2020","85894365",,"85894365","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","Vodafone Telecommunications India Limited","19-NOV-2020 to 20-NOV-2020","83280998",,"83280998","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","Trans Crystal Ltd","19-NOV-2020 to 20-NOV-2020","74891274",,"74891274","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","Prime Metals Ltd","19-NOV-2020 to 20-NOV-2020","112055285",,"112055285","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","Usha Martin Telematics Limited","19-NOV-2020 to 20-NOV-2020","20302800",,"20302800","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","Euro Pacific Securities Ltd","19-NOV-2020 to 20-NOV-2020","204448241",,"204448241","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","CCII Mauritius Inc","19-NOV-2020 to 20-NOV-2020","22873771",,"22873771","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","Asian Telecommunication Investments Mauritius Limited","19-NOV-2020 to 20-NOV-2020","50255070",,"50255070","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","Al Amin Investments Limited","19-NOV-2020 to 20-NOV-2020","41639742",,"41639742","Reg29(1)","23-Nov-2020, 22-58"
"INFRATEL","Bharti Infratel Limited","HSBC Corporate Trustee Company (UK) Limited","19-NOV-2020 to 19-NOV-2020","757821804",,"757821804","Reg29(1)","23-Nov-2020, 21-22"
"BALKRISHNA","Balkrishna Paper Mills Limited","Anurag Poddar","20-NOV-2020 to 20-NOV-2020","75763",,"606389","Reg29(1)","23-Nov-2020, 21-20"
"HFCL","HFCL Limited","MN Ventures Private Limited","23-NOV-2020 to 23-NOV-2020","500000",,"288140000","Reg29(2)","23-Nov-2020, 21-18"
"LAGNAM","Lagnam Spintex Limited","Kavita Mangal","13-NOV-2020 to 13-NOV-2020","3000",,"248000","Reg29(2)","23-Nov-2020, 21-16"
"TRIDENT","Trident Limited","Trident Group Limited","20-NOV-2020 to 20-NOV-2020","60000000",,"2331169835","Reg29(2)","23-Nov-2020, 21-16"
"TRIDENT","Trident Limited","M/s Rainbow Integrated Texpark LLP","18-NOV-2020 to 20-NOV-2020",,"16000000","13999000","Reg29(2)","23-Nov-2020, 21-12"
