"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
" Ashiana Housing Limited","102352099","62658716","    61.22","39693383","0","     0.00","     0.00","23-Nov-2020 11:30:29","1180139","99740833","1.18"
"20 Microns Limited","35286502","15819019","    44.83","19467483","8500547","    53.74","    24.09","23-Nov-2020 11:30:26","10839286","35157864","30.83"
"21st Century Management Services Limited","10500000","6023444","    57.37","4476556","0","     0.00","     0.00","23-Nov-2020 11:30:13","405291","9458716","4.28"
"3M India Limited","11265070","8448802","    75.00","2816268","0","     0.00","     0.00","23-Nov-2020 11:30:13","148505","11206513","1.33"
"3P Land Holdings Limited","18000000","13059458","    72.55","4940542","0","     0.00","     0.00","23-Nov-2020 11:30:11","99432","17658160","0.56"
"3i Infotech Limited","1616654866","0","     0.00","1616654866","0",,"     0.00","23-Nov-2020 11:30:20","36001739","1610028115","2.24"
"63 moons technologies limited","46078537","21025878","    45.63","25052659","0","     0.00","     0.00","23-Nov-2020 11:30:21","931720","46010949","2.02"
"8K Miles Software Services Limited","30517605","11646703","    38.16","18870902","1650000","    14.17","     5.41","23-Nov-2020 11:30:30","842604","30517431","2.76"
"A2Z Infra Engineering Limited","176119858","50446785","    28.64","125673073","49550601","    98.22","    28.13","23-Nov-2020 11:30:28","56627006","176114915","32.15"
"ABB India Limited","211908375","158931281","    75.00","52977094","0","     0.00","     0.00","23-Nov-2020 11:30:11","643429","210394487","0.31"
"ACC Limited","187787263","102395120","    54.53","85392143","0","     0.00","     0.00","23-Nov-2020 11:30:06","738004","184771104","0.4"
"ADF Foods Limited","20022719","6616735","    33.05","13405984","0","     0.00","     0.00","23-Nov-2020 11:30:28","5364348","19362468","27.7"
"AGC Networks Limited","29815103","20554952","    68.94","9260151","2132035","    10.37","     7.15","23-Nov-2020 11:30:09","2292821","29467468","7.78"
"AIA Engineering Limited","94320370","55148921","    58.47","39171449","0","     0.00","     0.00","23-Nov-2020 11:30:21","159273","94320240","0.17"
"AMD Industries Limited","19166749","12773523","    66.64","6393226","0","     0.00","     0.00","23-Nov-2020 11:30:23","125916","19166565","0.66"
"ANDHRA PAPER LIMITED","39770039","28713400","    72.20","11056639","20282720","    70.64","    51.00","23-Nov-2020 11:30:13","21279877","39584842","53.76"
"APL Apollo Tubes Limited","24925379","9850387","    39.52","15074992","76000","     0.77","     0.30","23-Nov-2020 11:30:29","965303","24937448","3.87"
"ARSS Infrastructure Projects Limited","22737966","10619468","    46.70","12118498","2646648","    24.92","    11.64","23-Nov-2020 11:30:27","3409704","22725239","15"
"ATN International Limited","39450000","65444","     0.17","39384556","0","     0.00","     0.00","23-Nov-2020 11:30:22","208380","36530114","0.57"
"AU Small Finance Bank Limited","306535329","88899206","    29.00","217636123","0","     0.00","     0.00","23-Nov-2020 11:30:31","4782433","306539741","1.56"
"AVT Natural Products Limited","152284000","114155975","    74.96","38128025","0","     0.00","     0.00","23-Nov-2020 11:30:23","1197169","146233302","0.82"
"AXISCADES Engineering Technologies Limited","37759530","25656547","    67.95","12102983","17473900","    68.11","    46.28","23-Nov-2020 11:30:18","18603537","37719985","49.32"
"Aarti Drugs Limited","23300000","14028200","    60.21","9271800","0","     0.00","     0.00","23-Nov-2020 11:30:15","2793239","91833809","3.04"
"Aarti Industries Limited","174234474","82847805","    47.55","91386669","11190","     0.01","     0.01","23-Nov-2020 11:30:13","3818482","172885926","2.21"
"Aarvee Denims & Exports Limited","23459800","15436303","    65.80","8023497","8222515","    53.27","    35.05","23-Nov-2020 11:30:23","7990154","23025187","34.7"
"Aban Offshore Limited","58365323","26846160","    46.00","31519163","5200000","    19.37","     8.91","23-Nov-2020 11:30:11","6596772","58098265","11.35"
"Abhishek Corporation Limited","16008462","9225416","    57.63","6783046","8164316","    88.50","    51.00","23-Nov-2020 11:30:24","8180116","16007902","51.1"
"Accelya Solutions India Limited","14926261","11143295","    74.66","3782966","0","     0.00","     0.00","23-Nov-2020 11:30:17","67273","14838306","0.45"
"Action Construction Equipment Limited","113483196","82865205","    73.02","30617991","0","     0.00","     0.00","23-Nov-2020 11:30:22","2885184","113449669","2.54"
"Adani Enterprises Limited","1099810083","823963481","    74.92","275846602","169971649","    20.63","    15.45","23-Nov-2020 11:30:09","176824798","1099554524","16.08"
"Adani Green Energy Limited","1564014280","1171710710","    74.92","392303570","66972171","     5.72","     4.28","23-Nov-2020 11:30:32","84791953","1563825393","5.42"
"Adani Ports and Special Economic Zone Limited","2031751761","1293306018","    63.65","738445743","399068389","    30.86","    19.64","23-Nov-2020 11:30:25","584728599","2031388854","28.78"
"Adani Power Limited","3856938941","2891612567","    74.97","965326374","869008587","    30.05","    22.53","23-Nov-2020 11:30:26","462470001","3856428537","11.99"
"Adani Transmission Limited","1099810083","823963481","    74.92","275846602","239869805","    29.11","    21.81","23-Nov-2020 11:30:31","325192224","1099529210","29.58"
"Adhunik Industries Limited","46763750","35054800","    74.96","11708950","23849513","    68.03","    51.00","23-Nov-2020 11:30:31","24159778","46763749","51.66"
"Aditya Birla Capital Limited","2414126632","1701288195","    70.47","712838437","0","     0.00","     0.00","23-Nov-2020 11:30:31","36190850","2383899156","1.52"
"Aditya Birla Fashion and Retail Limited","864244451","521219027","    60.31","343025424","0","     0.00","     0.00","23-Nov-2020 11:30:30","6393183","765268678","0.84"
