"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Beta Drugs Limited","66.61","33.39",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150857_326259_03102020025321_WEB.xml"
"Emmbi Industries Limited","58.17","41.83",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150858_326297_03102020042853_WEB.xml"
"R. S. Software (India) Limited","40.67","59.33",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150860_326378_04102020050311_WEB.xml"
"Khaitan (India) Limited","60.25","39.76",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150864_326552_05102020022220_WEB.xml"
"Mafatlal Finance Limited","63.74","36.27",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150867_326568_05102020023837_WEB.xml"
"Torrent Power Limited","53.56","46.45",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150869_326599_05102020033122_WEB.xml"
"Tide Water Oil Company (India) Limited","57.28","40.27",,"2.46","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150876_326725_05102020050928_WEB.xml"
"Aarti Surfactants Limited","48.66","51.34",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150879_326849_05102020080934_WEB.xml"
"Indian Hume Pipe Company Limited","69.92","30.08",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150881_326873_05102020090205_WEB.xml"
"Just Dial Limited","34.28","65.72",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150882_326884_06102020125021_WEB.xml"
"Srikalahasthi Pipes Limited","48.15","51.85",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150883_326899_06102020094327_WEB.xml"
"Granules India Limited","42.04","57.96",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150884_326912_06102020101730_WEB.xml"
"Tembo Global Industries Limited","72.77","27.23",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150889_326995_06102020111920_WEB.xml"
"Hisar Metal Industries Limited","56.11","43.89",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150891_327015_06102020114511_WEB.xml"
"Jocil Limited","55.02","44.97",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150892_327019_06102020115308_WEB.xml"
"Advani Hotels & Resorts (India) Limited","50.17","49.84",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150894_327036_06102020120452_WEB.xml"
"HCL Infosystems Limited","62.89","37.11",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150895_327038_06102020120611_WEB.xml"
"State Bank of India","57.63","42.37",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150897_327072_06102020122927_WEB.xml"
"Grindwell Norton Limited","58.32","41.68",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150899_327088_06102020124503_WEB.xml"
"Ahimsa Industries Limited","69.28","30.72",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150900_327099_06102020124606_WEB.xml"
"KNR Constructions Limited","55.03","44.97",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150902_327163_06102020125813_WEB.xml"
"N. B. I. Industrial Finance Company Limited","60.03","39.96",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150903_327172_06102020010311_WEB.xml"
"Digjam Limited","31.41","68.59",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150906_327196_06102020014330_WEB.xml"
"Agro Phos India Limited","54.27","45.73",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150907_327255_06102020015719_WEB.xml"
"Rain Industries Limited","41.14","58.86",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150908_327306_06102020022227_WEB.xml"
"Coal India Limited","66.13","33.87",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150911_327375_06102020030538_WEB.xml"
"Orient Refractories Limited","66.49","33.51",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150912_327380_06102020030623_WEB.xml"
"GTPL Hathway Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150914_327415_06102020033013_WEB.xml"
"Wheels India Limited","55.1","44.9",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150915_327437_06102020034158_WEB.xml"
"STEEL EXCHANGE INDIA LIMITED","47.58","52.42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150916_327451_06102020034807_WEB.xml"
"Gujarat State Fertilizers & Chemicals Limited","37.84","62.16",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150917_327464_06102020035449_WEB.xml"
"Natco Pharma Limited","48.91","51.09",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150918_327468_06102020035528_WEB.xml"
"BOROSIL RENEWABLES LIMITED","70.5","29.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150920_327482_06102020040233_WEB.xml"
"Omfurn India Limited","73.4","26.6",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150923_327506_06102020041918_WEB.xml"
"Prince Pipes And Fittings Limited","63.25","36.75",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150924_327531_06102020042715_WEB.xml"
"Precot Meridian Limited","61.38","38.61",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150925_327534_06102020042926_WEB.xml"
"Kitex Garments Limited","55.57","44.43",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150926_327539_06102020043158_WEB.xml"
"Ausom Enterprise Limited","73.7","26.3",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150927_327545_06102020043814_WEB.xml"
"Maheshwari Logistics Limited","57.4","42.59",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150929_327617_06102020050646_WEB.xml"
"Ushanti Colour Chem Limited","74.33","25.66",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150930_327629_06102020051248_WEB.xml"
"Aditya Birla Money Limited","73.8","26.2",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150931_327642_06102020052050_WEB.xml"
"Indiamart Intermesh Limited","51.99","47.4",,"0.61","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150934_327738_06102020060713_WEB.xml"
"Borosil Limited","70.5","29.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150936_327824_06102020071658_WEB.xml"
"Mold-Tek Packaging Limited","34.76","65.24",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150937_327833_06102020075424_WEB.xml"
"Mayur Uniquoters Ltd","61.48","38.52",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150941_327906_07102020100752_WEB.xml"
"De Nora India Limited","53.68","46.32",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150942_327929_07102020104055_WEB.xml"
"SJVN Limited","86.77","13.23",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150944_327952_07102020111111_WEB.xml"
"SEL Manufacturing Company Limited","18.55","81.45",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150945_327966_07102020111807_WEB.xml"
"Max Financial Services Limited","22.33","77.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150947_327993_07102020113008_WEB.xml"
"Paramount Communications Limited","60.08","39.92",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150948_328023_07102020114100_WEB.xml"
"Angel Broking Limited","44.56","55.44",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150953_328075_07102020121833_WEB.xml"
"Solex Energy Limited","70.43","29.57",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150954_328118_07102020123359_WEB.xml"
"Madhya Pradesh Today Media Limited","53.41","46.59",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150955_328127_07102020124053_WEB.xml"
"Intrasoft Technologies Limited","47.68","52.32",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150956_328134_07102020124253_WEB.xml"
"Indian Card Clothing Company Limited","57.35","42.65",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150957_328144_07102020124632_WEB.xml"
"Precision Camshafts Limited","65.37","34.62",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150959_328168_07102020125643_WEB.xml"
"Ahluwalia Contracts (India) Limited","58","42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150960_328176_07102020125833_WEB.xml"
"Focus Lighting and Fixtures Limited","73.36","26.64",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150962_328195_07102020010346_WEB.xml"
"Supreme Engineering Limited","68.3","31.7",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150964_328230_07102020012301_WEB.xml"
"Dangee Dums Limited","69.32","30.68",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150965_328233_07102020012352_WEB.xml"
"Macpower CNC Machines Limited","70.04","29.95",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150966_328276_07102020015225_WEB.xml"
