,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
0,7000,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE7000.00,14,0,0.0,0,0.0,5600.0,0.0,0.0,10125,5100,75,5667.05,75,6022.8,12690.8
1,7500,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE7500.00,18,0,0.0,0,0.0,5747.3,0.0,0.0,30075,30150,150,5164.95,150,5238.0,12690.8
2,8000,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE8000.00,1040,-12,-1.1406844106463878,12,0.0,4684.0,-45.600000000000364,-0.964140730717193,30075,30150,150,4665.15,75,4714.85,12690.8
3,8500,30-Sep-2021,NIFTY,OPTIDXNIFTY30-09-2021CE8500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1500,0,1500,3616.7,0,0.0,12690.8
4,8500,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE8500.00,8727,0,0.0,1,0.0,4205.0,-47.0,-1.1053621825023519,15225,15300,150,4167.35,225,4218.95,12690.8
5,9000,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9000.00,2077,0,0.0,6,0.0,3675.8,-86.5,-2.2991255349121547,15450,16350,75,3687.4,600,3733.95,12690.8
6,9000,30-Sep-2021,NIFTY,OPTIDXNIFTY30-09-2021CE9000.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1500,0,1500,3188.25,0,0.0,12690.8
7,9000,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE9000.00,117,0,0.0,0,0.0,3951.0,0.0,0.0,1725,225,75,3850.0,75,4050.0,12690.8
8,9300,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9300.00,47,1,2.1739130434782608,1,0.0,3369.0,203.19999999999982,6.418598774401409,11925,11925,225,3362.5,75,3409.85,12690.8
9,9300,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9300.00,1,0,0.0,0,0.0,3390.2,0.0,0.0,9150,8100,300,3361.5,75,3426.2,12690.8
10,9300,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9300.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4875,4875,4875,3051.4,4875,3704.75,12690.8
11,9300,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9300.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9975,4875,4875,3216.9,4875,3573.6,12690.8
12,9350,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9975,4875,4875,3168.6,4875,3522.45,12690.8
13,9350,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,11475,6375,150,3221.4,1500,3449.7,12690.8
14,9350,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4875,4875,4875,3006.3,4875,3652.65,12690.8
15,9350,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,6375,4875,3144.55,1500,3448.35,12690.8
16,9400,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9400.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,7350,1500,3113.8,975,3339.25,12690.8
17,9400,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9400.00,373,-4,-1.0610079575596818,4,0.0,3311.1,-55.05000000000018,-1.6353994920012531,11925,12000,150,3267.35,75,3309.3,12690.8
18,9400,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9400.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9975,4875,4875,3121.6,4875,3469.55,12690.8
19,9400,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9400.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4875,4875,4875,2961.15,4875,3598.35,12690.8
20,9450,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9450.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9975,4875,4875,3071.9,4875,3434.5,12690.8
21,9450,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9450.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,6375,4875,3050.0,1500,3348.8,12690.8
22,9450,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9450.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4875,4875,4875,2916.05,4875,3541.25,12690.8
23,9450,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9450.00,0,0,0.0,0,0.0,0.0,0.0,0.0,11475,6375,1500,3161.0,1500,3376.3,12690.8
24,9500,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9500.00,1033,-1,-0.09671179883945841,8,0.0,3196.0,-4.0,-0.125,10425,10650,225,3196.7,450,3229.95,12690.8
25,9500,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4875,4875,4875,2870.9,4875,3485.0,12690.8
26,9500,30-Sep-2021,NIFTY,OPTIDXNIFTY30-09-2021CE9500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1500,0,1500,2780.7,0,0.0,12690.8
27,9500,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE9500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1500,0,1500,2942.25,0,0.0,12690.8
28,9500,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,7350,1500,3003.3,975,3238.95,12690.8
29,9500,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9500.00,3812,-28,-0.7291666666666666,43,0.0,3165.0,-94.90000000000009,-2.91113224332035,12075,12075,225,3191.5,75,3210.05,12690.8
30,9550,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9550.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9975,4875,4875,2971.5,4875,3398.95,12690.8
31,9550,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9550.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4875,4875,4875,2825.8,4875,3432.55,12690.8
32,9550,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9550.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,6375,1500,2971.15,1500,3240.1,12690.8
33,9550,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9550.00,0,0,0.0,0,0.0,0.0,0.0,0.0,11475,6375,1500,3065.9,1500,3309.8,12690.8
34,9600,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9600.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,7350,1500,2922.7,975,3139.25,12690.8
35,9600,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9600.00,127,0,0.0,0,0.0,2580.0,0.0,0.0,11700,11775,75,3051.1,75,3109.8,12690.8
36,9600,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9600.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4875,4875,4875,2780.65,4875,3376.2,12690.8
37,9600,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9600.00,4,0,0.0,0,0.0,574.0,0.0,0.0,9975,4875,4875,2931.5,4875,3263.65,12690.8
38,9650,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9650.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9975,4875,4875,2868.1,4875,3298.95,12690.8
39,9650,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9650.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,4875,4875,2735.55,4875,3323.1,12690.8
40,9650,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9650.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,6375,4875,2860.8,1500,3136.95,12690.8
41,9650,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9650.00,0,0,0.0,0,0.0,0.0,0.0,0.0,11475,6375,1500,2964.7,1500,3206.25,12690.8
42,9700,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9700.00,294,0,0.0,0,0.0,580.0,0.0,0.0,9975,4875,4875,2836.15,4875,3159.5,12690.8
43,9700,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9700.00,1,0,0.0,0,0.0,2889.65,0.0,0.0,6375,7350,4875,2802.9,975,3039.25,12690.8
44,9700,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9700.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,4875,4875,2690.4,4875,3265.95,12690.8
45,9700,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9700.00,50,0,0.0,0,0.0,3024.95,0.0,0.0,11925,11775,150,2975.25,75,3010.0,12690.8
46,9750,26-Nov-2020,NIFTY,OPTIDXNIFTY26-11-2020CE9750.00,0,0,0.0,0,0.0,0.0,0.0,0.0,11475,6375,1500,2862.0,1500,3099.0,12690.8
47,9750,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9750.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9975,4875,4875,2773.1,4875,3198.95,12690.8
48,9750,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9750.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,6375,1500,2758.5,1500,3035.9,12690.8
49,9750,19-Nov-2020,NIFTY,OPTIDXNIFTY19-11-2020CE9750.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6375,4875,4875,2645.3,4875,3213.4,12690.8
50,9800,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE9800.00,23,0,0.0,0,0.0,1999.0,0.0,0.0,9975,4875,4875,2741.3,4875,3054.15,12690.8
