,SYMBOL,COMPANY,REGULATION,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,TYPE OF SECURITY (PRIOR),NO. OF SECURITY (PRIOR),% SHAREHOLDING (PRIOR),TYPE OF SECURITY (ACQUIRED/DISPLOSED),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),% POST,DATE OF ALLOTMENT/ACQUISITION FROM,DATE OF ALLOTMENT/ACQUISITION TO,DATE OF INITMATION TO COMPANY,MODE OF ACQUISITION,DERIVATIVE TYPE SECURITY,DERIVATIVE CONTRACT SPECIFICATION,NOTIONAL VALUE(BUY),NUMBER OF UNITS/CONTRACT LOT SIZE (BUY),NOTIONAL VALUE(SELL),NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL),EXCHANGE,REMARK,BROADCASTE DATE AND TIME,XBRL
0,DMART,Avenue Supermarts Limited,7(2),Abhay Yeshwant Bhave,Employees/Designated Employees,Equity Shares,162648,0.02,,1450,3432500,Sell,Equity Shares,161198,0.02,18-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,22-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1084080_365551_22112020025025_WEB.xml
1,DMART,Avenue Supermarts Limited,7(2),Abhay Yeshwant Bhave,Employees/Designated Employees,Equity Shares,161198,0.02,,750,1821268,Sell,Equity Shares,160448,0.02,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,22-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1084080_365551_22112020025025_WEB.xml
2,ADFFOODS,ADF Foods Limited,7(2),Priyanka Bhavesh Thakkar,Promoters,Equity Shares,121000,0.6,,4782,2219489,Sell,Equity Shares,116218,0.58,18-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,22-Nov-2020 13:45,https://archives.nseindia.com/corporate/xbrl/IT_1084078_365545_22112020014547_WEB.xml
3,MADHAV,Madhav Marbles and Granites Limited,7(2),MADHAV DOSHI,Director,Equity Shares,774698,8.65,,4184,122682,Buy,Equity Shares,778882,8.7,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,BSE,-,21-Nov-2020 22:52,https://archives.nseindia.com/corporate/xbrl/IT_1084076_365542_21112020105237_WEB.xml
4,MADHAV,Madhav Marbles and Granites Limited,7(2),MADHAV DOSHI,Director,Equity Shares,778882,8.7,,4837,140970,Buy,Equity Shares,783719,8.75,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,BSE,-,21-Nov-2020 22:52,https://archives.nseindia.com/corporate/xbrl/IT_1084076_365542_21112020105237_WEB.xml
5,DISHTV,Dish TV India Limited,7(2),World Crest Advisors LLP,Promoters,Equity Shares,10402100,0.56,,2500000,25625000,Pledge Invoke,Equity Shares,7902100,0.43,18-Nov-2020,18-Nov-2020,20-Nov-2020,Invocation of pledge,-,-,0,0,0,0,,-,21-Nov-2020 22:28,https://archives.nseindia.com/corporate/xbrl/IT_1084074_365539_21112020102825_WEB.xml
6,MEP,MEP Infrastructure Developers Limited,7(2),Anuya J.Mhaiskar,Promoter Group,Equity Shares,17023997,9.28,,3158000,44843600,Pledge Revoke,Equity Shares,17023997,9.28,20-Nov-2020,20-Nov-2020,21-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 22:21,https://archives.nseindia.com/corporate/xbrl/IT_1084072_365536_21112020102133_WEB.xml
7,MEP,MEP Infrastructure Developers Limited,7(2),Jayant D. Mhaiskar,Promoters,Equity Shares,14358526,7.83,,300198,4262812,Pledge Revoke,Equity Shares,14358526,7.83,20-Nov-2020,20-Nov-2020,21-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 22:10,https://archives.nseindia.com/corporate/xbrl/IT_1084070_365533_21112020101058_WEB.xml
8,ZEEMEDIA,Zee Media Corporation Limited,7(2),Arm Infra & Utilities Private Limited,Promoters,Equity Shares,55133103,11.71,,12488667,59321168,Pledge Invoke,Equity Shares,42644436,9.06,18-Nov-2020,18-Nov-2020,20-Nov-2020,Invocation of pledge,-,-,0,0,0,0,,-,21-Nov-2020 22:10,https://archives.nseindia.com/corporate/xbrl/IT_1084069_365531_21112020101013_WEB.xml
9,MEP,MEP Infrastructure Developers Limited,7(2),Ideal Toll & Infrastructure Private Limited,Promoters,Equity Shares,29940407,16.32,,1000000,14200000,Pledge Revoke,Equity Shares,29940407,16.32,20-Nov-2020,20-Nov-2020,21-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 21:38,https://archives.nseindia.com/corporate/xbrl/IT_1084066_365527_21112020093829_WEB.xml
10,HSCL,Himadri Speciality Chemical Limited,7(2),Sushila Devi Choudhary,Promoters,Equity Shares,850000,0.2,,850000,35444704,Sell,Equity Shares,Nil,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 20:41,https://archives.nseindia.com/corporate/xbrl/IT_1084065_365524_21112020084130_WEB.xml
11,HSCL,Himadri Speciality Chemical Limited,7(2),Kanta Devi Choudhary,Promoters,Equity Shares,822850,0.2,,822850,33817289,Sell,Equity Shares,Nil,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 20:41,https://archives.nseindia.com/corporate/xbrl/IT_1084065_365524_21112020084130_WEB.xml
12,HSCL,Himadri Speciality Chemical Limited,7(2),Saroj Devi Choudhary,Promoters,Equity Shares,822850,0.2,,822850,33836440,Sell,Equity Shares,Nil,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 20:41,https://archives.nseindia.com/corporate/xbrl/IT_1084065_365524_21112020084130_WEB.xml
13,INDIGO,InterGlobe Aviation Limited,7(2),Ashim Kumar Mittra,Employees/Designated Employees,Equity Shares,44035,0.01,,1186,1956900,Sell,Equity Shares,42849,0.01,18-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,"BSE,NSE",-,21-Nov-2020 19:32,https://archives.nseindia.com/corporate/xbrl/IT_1084063_365518_21112020073234_WEB.xml
14,INDIGO,InterGlobe Aviation Limited,7(2),Sanjay Kumar,Employees/Designated Employees,Equity Shares,115343,0.03,,20000,34112860,Sell,Equity Shares,95343,0.02,18-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,"BSE,NSE",-,21-Nov-2020 19:32,https://archives.nseindia.com/corporate/xbrl/IT_1084063_365518_21112020073234_WEB.xml
15,GSCLCEMENT,Gujarat Sidhee Cement Limited,7(2),HARISHCHANDRA  JOSHI,Employees/Designated Employees,Equity Shares,33430,0.0,,33430,1004906,Sell,Equity Shares,Nil,0.0,12-Nov-2020,12-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 19:21,https://archives.nseindia.com/corporate/xbrl/IT_1084061_365515_21112020072126_WEB.xml
16,KARURVYSYA,Karur Vysya Bank Limited,7(2),S NIRUPAMA,Promoter Group,Equity Shares,478740,0.06,,6700,241455,Buy,Equity Shares,485440,0.06,19-Nov-2020,20-Nov-2020,21-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 19:02,https://archives.nseindia.com/corporate/xbrl/IT_1084059_365512_21112020070232_WEB.xml
17,GANECOS,Ganesha Ecosphere Limited,7(2),HARSH SHARMA,Promoter Group,Equity Shares,76533,0.35,,4055,1176917,Buy,Equity Shares,80588,0.37,14-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 18:34,https://archives.nseindia.com/corporate/xbrl/IT_1084057_365509_21112020063436_WEB.xml
18,GANECOS,Ganesha Ecosphere Limited,7(2),HEMANT SHARMA,Promoter Group,Equity Shares,62062,0.28,,3818,1107463,Buy,Equity Shares,65880,0.3,17-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 18:34,https://archives.nseindia.com/corporate/xbrl/IT_1084057_365509_21112020063436_WEB.xml
