symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
M&M,Mahindra & Mahindra Limited,7(2),Ms. Yuthica Keshub Mahindra jointly with Sudha K. Mahindra,27-Nov-2020 22:06,1084822,,0,0,0,0,Equity Shares,2600,320545,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084822_367029_27112020100611_WEB.xml,Promoter Group,819344,0.07,1899081,Equity Shares,816744,0.07,26-Nov-2020,26-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
M&M,Mahindra & Mahindra Limited,7(2),Mahindra & Mahindra Employees' Stock Option Trust,27-Nov-2020 22:06,1084822,,0,0,0,0,Equity Shares,29208,320546,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084822_367029_27112020100611_WEB.xml,Other,49177819,3.96,100775,Equity Shares,49148611,3.95,27-Nov-2020,27-Nov-2020,27-Nov-2020,ESOP,-,NA,-
MITTAL,Mittal Life Style Limited,7(2),J.K. DENIM FAB PRIVATE LIMITED,27-Nov-2020 22:02,1084820,,0,0,0,0,Equity Shares,37500,320542,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084820_367026_27112020100201_WEB.xml,Promoter Group,3581746,30.48,515625,Equity Shares,3544246,30.16,26-Nov-2020,26-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
ADFFOODS,ADF Foods Limited,7(2),Priyanka Bhavesh Thakkar,27-Nov-2020 21:18,1084818,,0,0,0,0,Equity Shares,1643,320540,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084818_367022_27112020091843_WEB.xml,Promoters,113768,0.57,736423,Equity Shares,112125,0.56,25-Nov-2020,26-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
MINDAIND,Minda Industries Limited,7(2),SUNIL KUMAR ASIJA,27-Nov-2020 21:12,1084816,,0,0,0,0,Equity Shares,450,320538,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084816_367019_27112020091221_WEB.xml,Employees/Designated Employees,450,0,175500,Equity Shares,Nil,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
TATASTLLP,Tata Steel Long Products Limited,7(2),Tata Steel Limited,27-Nov-2020 20:18,1084814,,0,0,0,0,Equity Shares,224000,320535,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084814_367013_27112020081855_WEB.xml,Promoters,34115521,75.64,104958896,Equity Shares,33891521,75.15,27-Nov-2020,27-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
TATASTLLP,Tata Steel Long Products Limited,7(2),Tata Steel Limited,27-Nov-2020 20:18,1084814,,0,0,0,0,Equity Shares,105000,320536,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084814_367013_27112020081855_WEB.xml,Promoters,33891521,75.15,48827363,Equity Shares,33786521,74.91,27-Nov-2020,27-Nov-2020,27-Nov-2020,Market Sale,-,BSE,-
TATASTLLP,Tata Steel Long Products Limited,7(2),Tata Steel Limited,27-Nov-2020 20:08,1084812,,0,0,0,0,Equity Shares,82000,320532,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084812_367010_27112020080838_WEB.xml,Promoters,34197521,75.83,37852783,Equity Shares,34115521,75.64,26-Nov-2020,26-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
ADVENZYMES,Advanced Enzyme Technologies Limited,7(2),Anil Kumar Gupta,27-Nov-2020 19:50,1084810,,0,0,0,0,Equity Shares,1500,320528,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084810_367005_27112020075039_WEB.xml,Employees/Designated Employees,138649,0.12,516250,Equity Shares,137149,0.12,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
ADVENZYMES,Advanced Enzyme Technologies Limited,7(2),Anil Kumar Gupta,27-Nov-2020 19:50,1084810,,0,0,0,0,Equity Shares,10049,320530,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084810_367005_27112020075039_WEB.xml,Employees/Designated Employees,132149,0.12,3462953,Equity Shares,122100,0.12,27-Nov-2020,27-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
