,comName,shp,totIssuedShares,totPromoterHolding,percPromoterHolding,totPublicHolding,totPromoterShares,percPromoterShares,percTotShares,disclosureFromDate,numSharesPledged,totDematShares,sharesCollateral,nbfcPromoShare,nbfcNonPromoShare,percSharesPledged,broadcastDt,disclosureToDate,compBroadcastDate
0,Sterling And Wilson Solar Limited,30-Sep-2020,160360000,123826180,    77.22,36533820,59718766,    48.23,    37.24,,63330845,160360000,0,0,0,39.49,23-Nov-2020 11:30:32,,20-09-2019
1,United Drilling Tools Limited,30-Sep-2020,20303126,15156660,    74.65,5146466,600000,     3.96,     2.96,,652752,19225561,0,0,0,3.4,23-Nov-2020 11:30:32,,
2,GB Global Limited,30-Sep-2020,3314295,1060965,    32.01,2253330,450,     0.04,     0.01,,37651,3314059,0,0,0,1.14,23-Nov-2020 11:30:32,,
3,Confidence Petroleum India Limited,30-Sep-2020,273835000,148310365,    54.16,125524635,1875000,     1.26,     0.68,,19510354,265011333,0,0,0,7.36,23-Nov-2020 11:30:32,,
4,Prakash Pipes Limited,30-Sep-2020,20418354,7961358,    38.99,12456996,3132545,    39.35,    15.34,,6385922,20244143,0,0,0,31.54,23-Nov-2020 11:30:32,,31-01-2020
5,Seya Industries Limited,30-Sep-2020,24600000,15675375,    63.72,8924625,0,     0.00,     0.00,,159121,23029950,0,0,0,0.69,23-Nov-2020 11:30:32,,
6,Satia Industries Limited,30-Sep-2020,100000000,51676390,    51.68,48323610,9022000,    17.46,     9.02,,966475,99221850,0,0,0,0.97,23-Nov-2020 11:30:32,,
7,Iifl Wealth Management Limited,30-Sep-2020,87363356,20100172,    23.01,67263184,,,,,1154852,87364405,0,0,0,1.32,23-Nov-2020 11:30:32,,
8,Kuantum Papers Limited,30-Sep-2020,87263630,61350690,    70.30,25912940,0,     0.00,     0.00,,7661941,84473470,0,0,0,9.07,23-Nov-2020 11:30:32,,13-04-2020
9,Apollo Pipes Limited,30-Sep-2020,13109402,6821400,    52.03,6288002,495000,     7.26,     3.78,,849726,13101752,0,0,0,6.49,23-Nov-2020 11:30:32,30-Sep-2020,08-10-2020
10,Ruchi Soya Industries Limited,30-Sep-2020,295841007,292709922,    98.94,3131085,292500000,    99.93,    98.87,,292651184,295722831,0,0,0,98.96,23-Nov-2020 11:30:32,,31-05-2016
11,Birla Tyres Limited,30-Sep-2020,142590079,75761340,    53.13,66828739,33959679,    44.82,    23.82,,43822878,141693117,0,0,0,30.93,23-Nov-2020 11:30:32,,
12,Capacit'e Infraprojects Limited,30-Sep-2020,67891497,29728846,    43.79,38162651,5000000,    16.82,     7.36,,6269671,67891490,0,0,0,9.23,23-Nov-2020 11:30:32,,11-12-2019
13,Jash Engineering Limited,30-Sep-2020,11836598,6371171,    53.83,5465427,403000,     6.33,     3.40,,500754,10778898,0,0,0,4.65,23-Nov-2020 11:30:32,,15-07-2019
14,Tirupati Forge Limited,30-Sep-2020,11200000,6439680,    57.50,4760320,3096000,    48.08,    27.64,,3434328,11200000,0,0,0,30.66,23-Nov-2020 11:30:32,,30-07-2020
15,TCPL Packaging Limited,30-Sep-2020,9100000,5071974,    55.74,4028026,0,     0.00,     0.00,,190583,8867244,0,0,0,2.15,23-Nov-2020 11:30:32,,08-06-2020
16,Tube Investments of India Limited,30-Sep-2020,187933615,89976189,    47.88,97957426,33200,     0.04,     0.02,,1057795,186822334,0,0,0,0.57,23-Nov-2020 11:30:32,,30-04-2015
17,Nippon Life India Asset Management Limited,30-Sep-2020,612471695,464706691,    75.87,147765004,,,,,8350887,612566103,0,0,0,1.36,23-Nov-2020 11:30:32,,30-09-2019
18,Diligent Media Corporation Limited,30-Sep-2020,117708018,73173769,    62.17,44534249,8830306,    12.07,     7.50,,9894560,117626038,0,0,0,8.41,23-Nov-2020 11:30:32,,19-12-2017
19,Shalby Limited,30-Sep-2020,108009770,86815904,    80.38,21193866,0,     0.00,     0.00,,4543081,107988017,0,0,0,4.21,23-Nov-2020 11:30:32,,
20,Future Supply Chain Solutions Limited,30-Sep-2020,43883598,10265917,    23.39,33617681,9765817,    95.13,    22.25,,10600391,43883592,0,0,0,24.16,23-Nov-2020 11:30:32,,15-09-2020
21,Astron Paper & Board Mill Limited,30-Sep-2020,46500000,21358250,    45.93,25141750,3100000,    14.51,     6.67,,5890084,46499690,0,0,0,12.67,23-Nov-2020 11:30:32,30-Sep-2020,25-08-2020
22,Apollo Micro Systems Limited,30-Sep-2020,20763886,13276700,    63.94,7487186,800000,     6.03,     3.85,,1376979,20753878,0,0,0,6.63,23-Nov-2020 11:30:32,,30-01-2018
23,Praxis Home Retail Limited,30-Sep-2020,27633208,17061605,    61.74,10571603,0,     0.00,     0.00,,167858,27584588,0,0,0,0.61,23-Nov-2020 11:30:32,,24-10-2019
24,Sintercom India Limited,30-Sep-2020,24202822,15876822,    65.60,8326000,200000,     1.26,     0.83,,1889464,24202822,0,0,0,7.81,23-Nov-2020 11:30:32,,17-08-2020
25,Kapston Facilities Management Limited,30-Sep-2020,10144061,7391695,    72.87,2752366,5173471,    69.99,    51.00,,5177773,10144061,0,0,0,51.04,23-Nov-2020 11:30:32,,12-02-2020
26,Centrum Capital Limited,30-Sep-2020,416032740,178177812,    42.83,237854928,78259180,    43.92,    18.81,,125055310,414406580,0,0,0,30.18,23-Nov-2020 11:30:32,,31-01-2020
27,Lemon Tree Hotels Limited,30-Sep-2020,792246464,247921794,    31.29,544324670,83546387,    33.70,    10.55,,121164282,767102660,0,0,0,15.8,23-Nov-2020 11:30:32,,08-07-2019
28,Orient Electric Limited,30-Sep-2020,212185502,81733294,    38.52,130452208,10450000,    12.79,     4.92,,13688209,211053731,0,0,0,6.49,23-Nov-2020 11:30:32,,31-03-2020
29,Adani Green Energy Limited,30-Sep-2020,1564014280,1171710710,    74.92,392303570,66972171,     5.72,     4.28,,84791953,1563825393,0,0,0,5.42,23-Nov-2020 11:30:32,30-Sep-2020,28-09-2020
30,Solara Active Pharma Sciences Limited,30-Sep-2020,35823267,15847370,    44.24,19975897,752000,     4.75,     2.10,,2856520,35883242,0,0,0,7.96,23-Nov-2020 11:30:32,30-Sep-2020,29-08-2020
31,Gayatri Highways Limited,30-Sep-2020,239651900,146554710,    61.15,93097190,146449310,    99.93,    61.11,,162655997,239649619,0,0,0,67.87,23-Nov-2020 11:30:32,,17-07-2018
32,Talwalkars Healthclubs Limited,30-Sep-2019,31004856,11537234,    37.21,19467622,9027000,    78.24,    29.11,,8045224,30991792,0,0,0,25.96,23-Nov-2020 11:30:32,,31-01-2019
33,JSW Ispat Special Products Limited,30-Sep-2020,469547534,349110785,    74.35,120436749,85057968,    24.36,    18.11,,88203591,469467805,0,0,0,18.79,23-Nov-2020 11:30:32,,27-12-2018
34,TREJHARA SOLUTIONS LIMITED,30-Sep-2020,11816298,3205611,    27.13,8610687,1454999,    45.39,    12.31,,1747634,11467894,0,0,0,15.24,23-Nov-2020 11:30:32,,
35,Dalmia Bharat Limited,30-Sep-2020,186792013,104731548,    56.07,82060465,0,     0.00,     0.00,,7154855,181900632,0,0,0,3.93,23-Nov-2020 11:30:32,,
36,Chalet Hotels Limited,30-Sep-2020,205023864,146411299,    71.41,58612565,47023720,    32.12,    22.94,,47732974,205023864,0,0,0,23.28,23-Nov-2020 11:30:32,,14-03-2019
37,The Anup Engineering Limited,30-Sep-2020,10208259,4253215,    41.66,5955044,0,     0.00,     0.00,,338410,10000325,0,0,0,3.38,23-Nov-2020 11:30:32,,17-03-2020
38,Arvind Fashions Limited,30-Sep-2020,98658711,39201557,    39.73,59457154,0,     0.00,     0.00,,1447832,98133553,0,0,0,1.48,23-Nov-2020 11:30:32,,17-03-2020
