,SYMBOL,VALUE OF SECURITY (ACQUIRED/DISPLOSED),DATE,CLOSE_PRICE
0,KARURVYSYA,1097705.0,2020-11-20,36.2
1,GANECOS,59339096.0,2020-11-20,312.9
2,MAHSEAMLES,31484238.0,2020-11-20,245.8
3,TRIDENT,517095719.0,2020-11-20,8.1
4,FILATEX,26361132.0,2020-11-20,28.55
5,VTL,51430074.0,2020-11-20,828.35
6,VSSL,8635780.0,2020-11-20,89.6
7,TOKYOPLAST,26484587.0,2020-11-20,67.2
8,PLASTIBLEN,10215778.0,2020-11-20,233.25
9,LAGNAM,48900.0,2020-11-20,7.7
10,VETO,17617150.0,2020-11-20,71.75
11,GODREJIND,1177101518.0,2020-11-20,420.35
12,CLEDUCATE,11599156.0,2020-11-20,60.8
13,SIGIND,601260.0,2020-11-20,18.45
14,GODFRYPHLP,121475308.0,2020-11-20,927.65
15,MASFIN,2130000.0,2020-11-20,1064.45
16,NRBBEARING,5694905.0,2020-11-20,75.1
17,MANGCHEFER,64669597.0,2020-11-20,34.6
18,HFCL,687317000.0,2020-11-20,17.9
19,SURYAROSNI,76543264.0,2020-11-20,266.85
20,BIGBLOC,5676183.0,2020-11-20,88.55
21,DTIL,31251577.0,2020-11-20,265.45
22,NCLIND,24712666.0,2020-11-20,144.25
23,SIS,1544654.0,2020-11-20,375.7
24,UPL,124968800.0,2020-11-20,420.4
25,PANAMAPET,65837271.0,2020-11-20,72.0
26,LAURUSLABS,111774726.0,2020-11-20,282.85
27,PKTEA,14013268.0,2020-11-20,210.45
28,ALMONDZ,77009.0,2020-11-20,16.0
29,THANGAMAYL,35564651.0,2020-11-20,444.05
30,REPRO,5425991.0,2020-11-20,369.65
31,PALASHSECU,773553.0,2020-11-20,34.4
32,GREENPLY,20162954.0,2020-11-20,99.4
33,ELGIRUBCO,995033.0,2020-11-20,19.1
34,PERSISTENT,1167480.0,2020-11-20,1145.6
35,AIRAN,9077254.0,2020-11-20,14.4
36,BHAGERIA,8448822.0,2020-11-20,136.9
37,LOTUSEYE,197685.0,2020-11-20,32.25
38,GENUSPAPER,56158.0,2020-11-20,5.6
39,PIONEEREMB,22818773.0,2020-11-20,24.45
40,ATUL,6695421.0,2020-11-20,6539.4
41,CHEMBOND,3294259.0,2020-11-20,160.4
42,GENUSPOWER,300480.0,2020-11-20,27.7
43,JAGRAN,2348952.0,2020-11-20,40.8
44,SASKEN,3172608.0,2020-11-20,666.75
45,BETA,826616.0,2020-11-20,
46,TANLA,670705992.0,2020-11-20,480.25
47,HINDCON,742200.0,2020-11-20,25.0
48,GREAVESCOT,35245605.0,2020-11-20,73.9
49,TCI,6578650.0,2020-11-20,253.45
50,JUSTDIAL,892716435.0,2020-11-20,617.7
51,ULTRACEMCO,796834086.0,2020-11-20,4862.55
52,ANANTRAJ,4998866.0,2020-11-20,21.55
53,HATSUN,533540073.0,2020-11-20,943.0
54,AMJLAND,32855488.0,2020-11-20,24.25
55,MAHSCOOTER,49678473.0,2020-11-20,3820.2
56,ESCORTS,2679600.0,2020-11-20,1414.65
57,CHAMBLFERT,167958254.0,2020-11-20,185.9
58,MMP,19426791.0,2020-11-20,85.75
59,PDMJEPAPER,55592307.0,2020-11-20,22.75
60,SANDHAR,2774401.0,2020-11-20,234.9
61,ADANIPORTS,622170989.0,2020-11-20,375.85
62,GREENLAM,45780000.0,2020-11-20,757.5
63,CHOLAFIN,7500000.0,2020-11-20,338.95
64,RUSHIL,18123363.0,2020-11-20,90.4
65,APLLTD,20251596.0,2020-11-20,970.9
66,AXISBANK,1234212003.0,2020-11-20,607.85
67,GALAXYSURF,998640.0,2020-11-20,1924.2
68,BIOCON,2049200.0,2020-11-20,419.95
69,MASKINVEST,874196.0,2020-11-20,34.35
70,VIPCLOTHNG,2388375.0,2020-11-20,10.25
71,GRASIM,3505113089.0,2020-11-20,856.0
72,MANINDS,6665412.0,2020-11-20,71.55
73,THYROCARE,40817390.0,2020-11-20,1042.45
74,KCP,2104635.0,2020-11-20,69.35
75,HILTON,80880.0,2020-11-20,9.35
76,SURANASOL,1403513.0,2020-11-20,7.0
77,BHAGYANGR,1262533.0,2020-11-20,18.25
78,SOMANYCERA,56820882.0,2020-11-20,257.95
79,JAYAGROGN,93965.0,2020-11-20,96.0
80,CONFIPET,22537318.0,2020-11-20,26.5
81,ACE,48921690.0,2020-11-20,89.35
82,SATIN,12783031.0,2020-11-20,72.8
83,SPYL,4148644.0,2020-11-20,0.4
84,ELECTCAST,203744470.0,2020-11-20,22.1
85,USHAMART,167952676.0,2020-11-20,27.05
86,SHRIRAMCIT,1571725365.0,2020-11-20,1008.6
87,KSHITIJPOL,5280800.0,2020-11-20,
88,KHADIM,798969.0,2020-11-20,114.25
89,ADVANIHOTR,124380.0,2020-11-20,45.55
90,ASHAPURMIN,37692518.0,2020-11-20,73.85
91,MRF,103502709.0,2020-11-20,79069.4
92,MAHICKRA,4607010.0,2020-11-20,
93,HEXAWARE,41461098425.0,2020-11-20,
94,TDPOWERSYS,1482602.0,2020-11-20,141.3
95,HITECHGEAR,2588530.0,2020-11-20,144.85
96,RAMASTEEL,4480812.0,2020-11-20,46.0
97,GANGESSECU,1940260.0,2020-11-20,42.8
98,JBCHEPHARM,722496.0,2020-11-20,937.75
99,DOLLAR,58069280.0,2020-11-20,188.85
100,PSPPROJECT,14405090.0,2020-11-20,388.85
101,PGEL,22679865.0,2020-11-20,128.85
102,SHAKTIPUMP,15076479.0,2020-11-20,232.7
103,MANINFRA,39775077.0,2020-11-20,26.0
104,WELCORP,281859413.0,2020-11-20,112.7
105,SMSLIFE,41466298.0,2020-11-20,595.6
106,IRB,354135160.0,2020-11-20,118.25
107,RKFORGE,3204201.0,2020-11-20,374.3
108,ARVIND,85802480.0,2020-11-20,41.35
109,ARROWGREEN,5000000.0,2020-11-20,46.15
110,CCL,101317882.0,2020-11-20,260.2
111,SHANKARA,1030392.0,2020-11-20,317.5
112,SHREEPUSHK,40979379.0,2020-11-20,100.05
113,MANGLMCEM,10647336.0,2020-11-20,208.9
114,NOCIL,108208680.0,2020-11-20,140.75
115,GLENMARK,1091230.0,2020-11-20,481.85
116,SEAMECLTD,46059150.0,2020-11-20,386.0
117,NITINSPIN,2045638.0,2020-11-20,49.55
118,SKMEGGPROD,4913441.0,2020-11-20,47.45
119,GOLDIAM,18273506.0,2020-11-20,153.9
120,TATACHEM,644482535.0,2020-11-20,356.35
121,MAHINDCIE,1140560171.0,2020-11-20,154.4
122,KMSUGAR,39320.0,2020-11-20,10.25
123,TATAMTRDVR,551307089.0,2020-11-20,72.65
124,TATAMOTORS,551307089.0,2020-11-20,169.1
125,SHALBY,810117.0,2020-11-20,97.75
126,SHIL,55337128.0,2020-11-20,117.2
127,GODREJAGRO,68172000.0,2020-11-20,512.8
128,MINDTREE,1305197.0,2020-11-20,1357.45
129,SPANDANA,16794300.0,2020-11-20,731.5
130,MAZDA,11473022.0,2020-11-20,587.25
131,BAJAJELEC,150240190.0,2020-11-20,568.0
132,DAAWAT,1674050.0,2020-11-20,50.0
133,NATCOPHARM,15362839.0,2020-11-20,912.3
134,AJOONI,129.0,2020-11-20,
