,acquirerName,acquirerDate,symbol,noOfShareAcq,noOfShareSale,noOfShareAft,regType,company,application_no,promoterType,acqSaleType,acquisitionMode,acqType,totAcqShare,totAcqDiluted,totSaleShare,totSaleDiluted,totAftShare,totAftDiluted,remarks,attachement,timestamp,time
44,MN Ventures Private Limited,20-NOV-2020 to 20-NOV-2020,HFCL,500000,,287640000,Reg29(2),HFCL Limited,87186,Y,Acquisition,Open Market,Equity shares,0.04,.04,,,22.4,22.4,,https://archives.nseindia.com/corporate/MNVPL_20112020_11202020185206_2.zip,20-Nov-2020 18:52,"20-Nov-2020, 18-52"
58,MN Ventures Private Limited,19-NOV-2020 to 19-NOV-2020,HFCL,1000000,,287140000,Reg29(2),HFCL Limited,87153,Y,Acquisition,Open Market,Equity shares,0.08,.08,,,22.36,22.36,,https://archives.nseindia.com/corporate/MNVPL00_11202020083403_1.zip,20-Nov-2020 08:34,"20-Nov-2020, 08-34"
71,MN Ventures Private Limited,18-NOV-2020 to 18-NOV-2020,HFCL,750000,,286140000,Reg29(2),HFCL Limited,87083,Y,Acquisition,Open Market,Equity shares,0.06,.06,,,22.28,22.28,,https://archives.nseindia.com/corporate/MNVPLREG29_11182020235404_1.zip,18-Nov-2020 23:54,"18-Nov-2020, 23-54"
164,MN Ventures Private Limited,12-NOV-2020 to 12-NOV-2020,HFCL,1000000,,285390000,Reg29(2),HFCL Limited,86823,Y,Acquisition,Open Market,Equity shares,0.08,.08,,,22.22,22.22,,https://archives.nseindia.com/corporate/HFCL_REG29_11122020190205_2.zip,12-Nov-2020 19:02,"12-Nov-2020, 19-02"
171,MN Ventures Private Limited,11-NOV-2020 to 11-NOV-2020,HFCL,1000000,,284390000,Reg29(2),HFCL Limited,86769,Y,Acquisition,Open Market,Equity shares,0.08,.08,,,22.17,22.17,,https://archives.nseindia.com/corporate/HFCL_REG29_11112020193403_1.zip,11-Nov-2020 19:34,"11-Nov-2020, 19-34"
252,MN Ventures Private Limited,06-NOV-2020 to 06-NOV-2020,HFCL,1000000,,283390000,Reg29(2),HFCL Limited,86533,Y,Acquisition,Open Market,Equity shares,0.08,.08,,,22.09,22.09,,https://archives.nseindia.com/corporate/MNVPL_06112020_11062020211004_1.zip,06-Nov-2020 21:10,"06-Nov-2020, 21-10"
270,MN Ventures Private Limited,05-NOV-2020 to 05-NOV-2020,HFCL,1000000,,282390000,Reg29(2),HFCL Limited,86497,Y,Acquisition,Open Market,Equity shares,0.08,.08,,,22.01,22.01,,https://archives.nseindia.com/corporate/MNVPL_REG29_11052020213003_1.zip,05-Nov-2020 21:30,"05-Nov-2020, 21-30"
287,MN Ventures Private Limited,04-NOV-2020 to 04-NOV-2020,HFCL,1000000,,281390000,Reg29(2),HFCL Limited,86434,Y,Acquisition,Open Market,Equity shares,0.08,.08,,,21.93,21.93,,https://archives.nseindia.com/corporate/MNVPL_HFCL_11042020213003_1.zip,04-Nov-2020 21:30,"04-Nov-2020, 21-30"
295,MN Ventures Private Limited,03-NOV-2020 to 03-NOV-2020,HFCL,1000000,,280390000,Reg29(2),HFCL Limited,86413,Y,Acquisition,Open Market,Equity shares,0.08,.08,,,21.85,21.85,,https://archives.nseindia.com/corporate/MNVPLReg29_11032020223806_2.zip,03-Nov-2020 22:38,"03-Nov-2020, 22-38"
300,MN Ventures Private Limited,02-NOV-2020 to 02-NOV-2020,HFCL,1000000,,279390000,Reg29(2),HFCL Limited,86383,Y,Acquisition,Open Market,Equity shares,0.08,.08,,,21.77,21.77,,https://archives.nseindia.com/corporate/MNVPL_SAST_11032020113403_1.zip,03-Nov-2020 11:34,"03-Nov-2020, 11-34"
