,symbol,secVal,DATE,CLOSE_PRICE,BUYING QTY OF PROMOTERS/PROMOTER GROUP,BUYING AVG PRICE OF PROMOTERS/PROMOTER GROUP,SELLING QTY PRICE OF PROMOTERS/PROMOTER GROUP (MARKET SELL DATA),SELLING AVG PRICE OF PROMOTERS/PROMOTER GROUP (MARKET SELL DATA),SHAREHOLDING PATTERN OF PROMOTERS/PROMOTER GROUP,SAST REGULATIONS (SOLD QTY),PLEDGED DATA OF PROMOTER/PROMOTER GROUP,SIGNAL
0,NCLIND,25448873.0,2020-11-24,140.75,222231.0,114.51540514149691,171956.0,142.90797064365302,43.7,171897.0,2.99,
1,PKTEA,15444349.0,2020-11-24,210.0,80458.0,191.95541773347585,0.0,,50.15,0.0,,PASSED/Kindly confirm PLEDGED data on website
2,HFCL,705716000.0,2020-11-24,18.05,42750000.0,16.507976608187136,0.0,,39.73,0.0,47.33,
3,PANAMAPET,81318951.0,2020-11-24,76.3,1393558.0,58.353474344089015,0.0,,71.27,1000000.0,0.0,
4,AIRAN,10714532.0,2020-11-24,15.1,752038.0,14.247327927578128,0.0,,73.81,0.0,,PASSED/Kindly confirm PLEDGED data on website
5,GODREJIND,1465159172.0,2020-11-24,415.05,3500490.0,418.5583081225771,0.0,,64.96,967634.0,5.81,
6,MOTOGENFIN,463028.0,2020-11-24,16.65,26160.0,17.699847094801225,0.0,,67.13,0.0,0.0,
7,TCI,8080883.0,2020-11-24,249.6,34407.0,234.86159793065366,0.0,,66.74,0.0,0.0,
8,CONFIPET,24486978.0,2020-11-24,26.75,1161557.0,21.081167777388455,0.0,,54.16,9380.0,1.26,
9,UPL,165099087.0,2020-11-24,427.45,394886.0,418.0930369777607,0.0,,27.88,0.0,1.92,
10,ACE,52426500.0,2020-11-24,93.45,766758.0,68.3742458507117,0.0,,73.02,0.0,0.0,
11,GODREJAGRO,101979291.0,2020-11-24,517.5,204538.0,498.58359326873244,138000.0,494.0,70.07,138000.0,,
12,GALAXYSURF,998640.0,2020-11-24,1946.5,1139.0,876.7690956979807,367.0,1798.9618528610354,70.93,,,
13,JINDRILL,5184925.0,2020-11-24,86.65,67000.0,77.38694029850747,0.0,,67.19,,0.0,
14,BIGBLOC,6855802.0,2020-11-24,91.3,119522.0,57.36016800254347,0.0,,70.46,0.0,,
15,PALASHSECU,775224.0,2020-11-24,35.4,25476.0,30.42958078191239,0.0,,65.57,0.0,0.0,
16,NESCO,1010400.0,2020-11-24,515.1,1830.0,552.1311475409836,0.0,,68.53,,0.0,
17,KARURVYSYA,1097705.0,2020-11-24,38.2,30500.0,35.99032786885246,0.0,,2.11,,14.72,
