,symbol,secVal,DATE,CLOSE_PRICE,BUYING QTY OF PROMOTERS/PROMOTER GROUP,BUYING AVG PRICE OF PROMOTERS/PROMOTER GROUP,SELLING QTY PRICE OF PROMOTERS/PROMOTER GROUP (MARKET SELL DATA),SELLING AVG PRICE OF PROMOTERS/PROMOTER GROUP (MARKET SELL DATA),SHAREHOLDING PATTERN OF PROMOTERS/PROMOTER GROUP,SAST REGULATIONS (SOLD QTY),PLEDGED DATA OF PROMOTER/PROMOTER GROUP,SIGNAL
0,AIRAN,13487254.0,2020-11-23,14.1,985000.0,13.692643654822335,0.0,,73.81,0.0,,PASSED/Kindly confirm PLEDGED data on website
1,HFCL,696554000.0,2020-11-23,18.3,42250000.0,16.486485207100593,0.0,,39.73,0.0,    47.33,
2,GODREJAGRO,101979291.0,2020-11-23,511.9,204538.0,498.58359326873244,138000.0,494.0,70.07,138000.0,,
3,GALAXYSURF,998640.0,2020-11-23,1924.75,1139.0,876.7690956979807,367.0,1798.9618528610354,70.93,,,
4,JINDRILL,5184925.0,2020-11-23,81.55,67000.0,77.38694029850747,0.0,,67.19,,     0.00,
5,BIGBLOC,7815482.0,2020-11-23,92.45,144069.0,54.24818663279401,0.0,,70.46,0.0,,
6,PALASHSECU,870041.0,2020-11-23,34.3,28989.0,30.01279795784608,0.0,,65.57,0.0,     0.00,
7,NESCO,1010400.0,2020-11-23,514.15,1830.0,552.1311475409836,0.0,,68.53,,     0.00,
8,KARURVYSYA,1097705.0,2020-11-23,38.6,30500.0,35.99032786885246,0.0,,2.11,,    14.72,
9,GANECOS,59339096.0,2020-11-23,315.6,217219.0,273.17636118387435,0.0,,40.91,,     0.00,
10,MAHSEAMLES,31484238.0,2020-11-23,248.7,132581.0,237.47171917544748,0.0,,63.05,,     0.00,
11,TRIDENT,517095719.0,2020-11-23,8.15,66398819.0,7.787724643114511,0.0,,71.84,1111087350.0,     0.00,
12,FILATEX,26361132.0,2020-11-23,29.6,945932.0,27.867893252369093,0.0,,60.47,0.0,    36.50,
13,VTL,51430074.0,2020-11-23,851.7,65435.0,785.9719416214564,0.0,,62.24,,     0.00,
